id,qid1,qid2,question1,question2,is_duplicate
628,1252,1253,"What is the opposite of ""homebird""?",What is the opposite of take off?,0
629,1254,1255,How do you know that your fiance loves you?,What are the things that you love the most about your fiance?,0
630,1256,1257,Can somebody explain to me how to do this problem with steps?,Can somebody explain to me how to do with steps this little problem?,0
631,1258,1259,How do I develop my presence of mind?,How can I increase my presence of mind?,1
632,1260,1261,Mathematical Fallacies: What is wrong in this proof that 2+2 = 5?,How would mathematics change had 2 plus 2 been equal to 5?,0
633,1262,1263,Will it help CIBIL score if I pay off my written-off amount?,Does my CIBIL score gets impacted if I only pay the minimum due amount?,0
634,1264,1265,Should the Hobbit be considered a canonical Tolkien work?,"What is the proper, canonical spelling of Middle-earth in Tolkien's works?",0
635,1266,1267,What do Japanese think about Malaysian?,What do Malaysians think about indians?,0
636,1268,1269,Is the Har Ki Dun trek easy?,Can I take 10 month baby to base camp of Har ki dun trek?,0
637,1270,1271,What are the good websites to learn C programming for begineer?,How can we learn c programming?,1
638,1272,1273,Will the Supreme Court's decision of playing the National Anthem before movie screenings affect your patriotism?,What are your views on the supreme court's decision to make playing national anthem mandatory in cinema halls?,1
639,1274,1275,"If the United States has a female president, will her husband be called the first gentleman? What will Bill Clinton be called if Hillary is elected?","If a single woman were elected President of the United States, would she have a First Lady or First Gentleman?",0
640,1276,1277,How can I get MOOC/E-learning through online web and video courses related to filmmaking & production developed by Indian professors?,How can I get MOOCs/E-learning through online web and video courses related to photography developed by Indian professors?,0
641,1278,1279,Mobile Number Portability finally will start on May 3. Do network providers really agree to this?,"Mobile number portability finally will start on May 3rd, including changing circles. Have network providers really agreed to this?",0
642,1280,1281,Why do people hate twilight saga?,Why do people hate Twilight so much?,1
643,1282,1283,Do you believe imperialism left a positive or negative legacy in the Indian subcontinent and in Africa?,Stepping into corporate life from being a student. How does that feel?,0
644,1284,1285,Why is C the best programming language?,"Lua and C, which one is the best programming language for embedded systems?",0
645,1286,1287,How can I improve my spoken English ability?,How can I improve my English speaking .?,1
646,1288,1289,How can I have gay sex?,How can I be gay and dislike gay sex?,0
647,1290,1291,I'm transferring to a school with a US curriculum (taking the IBDP) from a Philippine school w/ a percent average grading system. How do I get my GPA?,"I am in tenth grade at a high school in Ontario, Canada. I would really love to do an exchange with a student from Europe. Any ideas on how I can go about doing this?",0
648,1292,1127,How do I make money with YouTube?,How do I make money through YouTube?,1
649,1293,1294,How do I find love in life?,How do I find the love of my life?,1
650,1295,1296,"Which option is better to reduce weight, swimming or gym?","Is it possible to burn 1000 calories each day? If yes, how?",0
651,1297,1298,Is there any way to get rid of gynecomastia?,How can I get rid of man boobs?,1
652,1299,1300,Which payment gateway in Saudi that using to collect and pay money from/to multiple ?,"Which are all the stress free, relatively easy to get jobs in India that pay a decent sum of money and allow you to pursue other interests?",0
653,1301,1302,Are there any scientific reasons behind Hindu temples?,What is the scientific reason behind visiting temples?,1
654,1303,1304,Is (male) circumcision required in Islam?,Is circumcision allowed in Islam?,0
655,1305,1306,Where can I get super high quality photos for any photo booth services in Sydney?,Where can I get professional photo booths service in Sydney?,1
656,1307,1308,How can I find out whom I sent a friend request to on Instagram?,How do you send a friend request on Instagram?,0
657,1309,1310,How can I control on my anger?,How can someone control their anger?,1
658,1311,1312,What are genders?,What is Gender Profiling?,0
659,1313,1314,How do I get off Quora?,How do get out of Quora?,1
660,1315,1316,How long can raw and cooked sausage last refrigerated?,How long does onigiri last if left refrigerated? How can it be kept longer?,0
661,1317,1318,What are the best available smartphones gadgets?,What are some of the best smartphones technology gadgets?,1
662,1319,1320,How does it feel to be a closeted gay in India?,How does it feel to be homosexual in India?,1
663,1321,1322,Can we switch roles at Amazon?,How important is the role of TPM at Amazon?,0
664,1323,1324,What happens if dictatorship is continuing in the present days?,What happens if a dictatorship continues in the present day?,1
665,1325,1326,What makes a great cup of coffee great?,What makes a perfect cup of coffee?,1
666,1327,1328,Is the US election rigged?,Was the US election rigged?,1
667,1329,1330,Why hasn't Gayle Laakmann McDowell/careercup created a MOOC or a coding bootcamp?,"Is Gayle Laakmann McDowell planning on publishing any more books? If so, what is she working on?",0
668,1331,1332,What is fermentation? What are some products of fermentation?,What are some fermented products?,0
669,1333,1334,"What do you think about my short film, ""ColorShift""?",What do you think about my short film?,0
670,1335,1336,Should there be a war between India and Pakistan for Kashmir?,Why is there a conflict between India and Pakistan on Kashmir?,0
671,1337,1338,What is the best way to get you food stamp card?,How can I get food stamps in college?,0
672,1339,1340,"What are some real world example of encapsulation and abstraction and how are they different, yet related?",What are some examples of recursion in the real world?,0
673,1341,1342,What are ways to deal with fabricate security and insurance of android application?,How do find best applications for android security?,0
674,1343,1344,What is the best accordion for beginners to learn on?,How difficult would it be to learn how to play the accordion if I know how to play the piano?,0
675,1345,1346,Role of junior leaders in Indian army?,What is the role of the Indian army?,0
676,1347,1348,What's your opinion about the decision on removal of 500 and 1000 rupees currency notes?,What is the use of demonetizing Rs. 500 & Rs. 1000 notes?,1
677,1349,1350,What are some of the most mind-blowing facts about Bengaluru?,What are some interesting facts about Bengaluru?,1
678,1351,1352,"If both the parents have blood group B+, can the child have A+?",If both my parents have blood group B+ can I be A+?,0
679,1353,1354,Which book is best for Neet chemistry?,Which is the best book for chemistry for NEET?,1
680,1355,1356,What is the essence of enlightenment?,What is enlightenment?,0
681,1357,1358,Why are so many questions posted to Quora that are so easily answered by using Google?,Why do many Quora users ask questions they could look up online?,1
